10000 0.000127 574 0.000122 456
20000 0.000079 1435 0.000121 1435
30000 0.000117 2124 0.000119 2243
40000 0.000118 2918 0.000120 2945
50000 0.000105 3532 0.000121 3722
60000 0.000116 4364 0.000120 4216
70000 0.000132 4918 0.000159 4750
80000 0.000059 5336 0.000114 5230
90000 0.000118 5845 0.000147 5808
100000 0.000119 6195 0.000151 6225
110000 0.000121 6587 0.000099 6502
120000 0.000105 6926 0.000121 6942
130000 0.000078 7271 0.000091 7199
140000 0.000127 7457 0.000121 7379
150000 0.000117 7678 0.000115 7759
160000 0.000117 7894 0.000127 7828
170000 0.000117 8090 0.000120 8123
180000 0.000112 8230 0.000115 8239
190000 0.000118 8555 0.000120 8462
200000 0.000118 8631 0.000118 8674

