n,t
5000,5.427484
10000,5.532222
15000,5.607342
20000,5.687950
25000,5.766454
30000,5.840293
35000,5.919906
40000,5.995193
45000,6.072162
50000,6.146962
55000,6.221678
60000,6.296548
65000,6.369649
70000,6.444524
75000,6.517450
80000,6.593227
85000,6.731354
90000,6.804083
95000,6.880740
100000,6.954339
105000,7.027730
110000,7.112314
115000,7.190578
120000,7.263657
125000,7.342213
130000,7.417828
135000,7.492738
140000,7.567549
145000,7.652173
150000,7.731936
155000,7.809754
160000,7.885507
165000,7.959975
170000,8.033985
175000,8.115017
180000,8.191671
185000,8.266672
190000,8.341666
195000,8.415299
200000,8.490964
205000,8.566404
210000,8.641376
215000,8.727872
220000,8.804127
225000,8.883341
230000,8.958716
235000,9.032707
240000,9.109742
245000,9.185753
250000,9.264253
255000,9.340931
260000,9.416091
265000,9.490500
270000,9.570049
275000,9.645545
280000,9.728883
285000,9.805011
290000,9.879031
295000,9.954612
300000,10.030839
305000,10.110645
310000,10.185991
315000,10.260169
320000,10.455891
325000,10.529704
330000,10.602859
335000,10.678372
340000,10.759302
345000,10.838271
350000,10.913007
355000,10.989652
360000,11.066544
365000,11.141690
370000,11.216801
375000,11.293349
380000,11.370931
385000,11.446814
390000,11.521258
395000,11.597188
400000,11.674157
405000,11.752501
410000,11.827646
415000,11.908665
420000,11.983166
425000,12.062433
430000,12.138629
435000,12.216152
440000,12.289741
445000,12.365711
450000,12.443169
455000,12.517169
460000,12.590898
465000,12.666066
470000,12.743847
475000,12.817852
480000,12.892445
485000,12.973566
490000,13.048316
495000,13.122870
500000,13.198873
505000,13.273979
510000,13.368992
515000,13.444188
520000,13.520781
525000,13.596612
530000,13.671235
535000,13.750772
540000,13.826873
545000,13.902206
550000,13.977092
555000,14.056740
560000,14.134360
565000,14.208184
570000,14.283887
575000,14.358627
580000,14.433402
585000,14.508695
590000,14.587104
595000,14.663806
600000,14.742254
605000,14.815887
610000,14.892066
615000,14.967024
620000,15.043622
625000,15.126321
630000,15.206116
635000,15.279876
640000,15.355397
645000,15.439661
650000,15.514106
655000,15.590538
660000,15.666559
665000,15.744711
670000,15.819218
675000,15.893592
680000,15.973947
685000,16.049581
690000,16.125634
695000,16.202655
700000,16.278443
705000,16.353818
710000,16.429987
715000,16.506709
720000,16.578248
725000,16.662717
730000,16.748185
735000,16.822116
740000,16.896541
745000,16.972833
750000,17.048348
755000,17.123118
760000,17.198815
765000,17.277363
770000,17.353146
775000,17.427431
780000,17.506926
785000,17.581136
790000,17.655103
795000,17.737541
800000,17.812207
805000,17.886452
810000,17.962483
815000,18.046371
820000,18.118903
825000,18.431031
830000,18.596738
835000,18.844589
840000,18.921013
845000,18.995882
850000,19.069814
855000,19.143113
860000,19.219517
865000,19.295605
870000,19.370330
875000,19.445011
880000,19.520772
885000,19.595078
890000,19.669226
895000,19.750179
900000,19.827094
905000,19.901078
910000,19.978880
915000,20.095019
920000,20.169629
925000,20.252598
930000,20.331543
935000,20.407315
940000,20.486528
945000,20.562220
950000,20.635577
955000,20.712078
960000,20.792347
965000,20.866408
970000,20.946175
975000,21.021829
980000,21.097249
985000,21.172170
990000,21.317599
995000,21.463369
1000000,21.537885
