n,t
400000,0.466070
401000,0.467448
402000,0.468535
403000,0.469631
404000,0.470723
405000,0.471819
406000,0.472903
407000,0.474270
408000,0.475364
409000,0.476471
410000,0.477554
411000,0.478652
412000,0.479764
413000,0.480884
414000,0.482238
415000,0.483321
416000,0.484420
417000,0.485539
418000,0.486611
419000,0.487690
420000,0.488813
421000,0.490220
422000,0.491295
423000,0.492353
424000,0.493428
425000,0.494521
426000,0.495588
427000,0.496678
428000,0.498018
429000,0.499167
430000,0.500272
431000,0.501382
432000,0.502491
433000,0.503647
434000,0.504796
435000,0.506210
436000,0.507322
437000,0.508442
438000,0.509575
439000,0.510687
440000,0.511793
441000,0.512882
442000,0.514291
443000,0.515401
444000,0.516489
445000,0.517603
446000,0.518796
447000,0.519945
448000,0.521083
449000,0.522466
450000,0.523568
451000,0.524701
452000,0.525813
453000,0.526921
454000,0.528052
455000,0.529200
456000,0.530580
457000,0.531692
458000,0.532783
459000,0.533933
460000,0.535022
461000,0.536150
462000,0.537527
463000,0.538674
464000,0.539798
465000,0.540890
466000,0.541977
467000,0.543113
468000,0.544212
469000,0.545567
470000,0.546678
471000,0.547770
472000,0.548916
473000,0.550053
474000,0.551149
475000,0.552242
476000,0.553632
477000,0.554733
478000,0.555820
479000,0.556925
480000,0.558066
481000,0.559160
482000,0.560282
483000,0.561621
484000,0.562748
485000,0.563877
486000,0.564964
487000,0.566091
488000,0.567210
489000,0.568303
490000,0.569657
491000,0.570792
492000,0.571887
493000,0.572988
494000,0.574105
495000,0.575223
496000,0.576304
497000,0.577663
498000,0.578790
499000,0.579916
500000,0.580998
501000,0.582138
502000,0.583227
503000,0.584346
504000,0.585682
505000,0.586776
506000,0.587868
507000,0.588994
508000,0.590128
509000,0.591239
510000,0.592342
511000,0.593776
512000,0.594920
513000,0.596086
514000,0.597209
515000,0.598356
516000,0.599501
517000,0.600653
518000,0.602064
519000,0.603195
520000,0.604400
521000,0.605520
522000,0.606667
523000,0.607797
524000,0.608957
525000,0.610388
526000,0.611557
527000,0.612697
528000,0.613851
529000,0.614975
530000,0.616142
531000,0.617284
532000,0.618696
533000,0.619836
534000,0.621006
535000,0.622171
536000,0.623361
537000,0.624504
538000,0.625656
539000,0.627055
540000,0.628205
541000,0.629337
542000,0.630483
543000,0.631667
544000,0.632788
545000,0.633912
546000,0.635327
547000,0.636481
548000,0.637625
549000,0.638772
550000,0.639917
551000,0.641086
552000,0.642253
553000,0.643838
554000,0.644986
555000,0.646186
556000,0.647353
557000,0.648525
558000,0.649695
559000,0.650904
560000,0.652338
561000,0.653539
562000,0.654685
563000,0.655862
564000,0.657009
565000,0.658189
566000,0.659348
567000,0.660786
568000,0.661924
569000,0.663087
570000,0.664226
571000,0.665402
572000,0.666557
573000,0.667687
574000,0.669131
575000,0.670332
576000,0.671486
577000,0.672607
578000,0.673746
579000,0.674918
580000,0.676091
581000,0.677496
582000,0.678664
583000,0.679813
584000,0.680943
585000,0.682112
586000,0.683311
587000,0.684454
588000,0.685846
589000,0.686987
590000,0.688188
591000,0.689325
592000,0.690500
593000,0.691653
594000,0.692793
595000,0.694208
596000,0.695354
597000,0.696496
598000,0.697612
599000,0.698780
600000,0.699916
601000,0.701091
602000,0.702500
603000,0.703628
604000,0.704763
605000,0.705946
606000,0.707093
607000,0.708238
608000,0.709365
609000,0.710798
610000,0.711928
611000,0.713133
