10000 0.000651 574 0.000645 456
20000 0.000603 1435 0.000599 1435
30000 0.000601 2124 0.000599 2243
40000 0.000629 2918 0.000600 2945
50000 0.000598 3532 0.000600 3722
60000 0.000602 4364 0.000598 4216
70000 0.000610 4918 0.000603 4750
80000 0.000601 5336 0.000601 5230
90000 0.000579 5845 0.000587 5808
100000 0.000580 6195 0.000586 6225
110000 0.000609 6587 0.000603 6502
120000 0.000606 6926 0.000601 6942
130000 0.000605 7271 0.000599 7199
140000 0.000607 7457 0.000602 7379
150000 0.000575 7678 0.000571 7759
160000 0.000585 7894 0.000575 7828
170000 0.000576 8090 0.000572 8123
180000 0.000579 8230 0.000572 8239
190000 0.000575 8555 0.000573 8462
200000 0.000654 8631 0.000590 8674
