n,t
292000,4.96371e-07
293000,4.881e-07
294000,4.8981e-07
295000,5.07619e-07
296000,5.20442e-07
297000,5.004e-07
298000,4.94781e-07
299000,4.9489e-07
300000,4.94599e-07
301000,4.99129e-07
302000,5.38139e-07
303000,5.09e-07
304000,5.11489e-07
305000,5.0488e-07
306000,4.9722e-07
307000,5.39482e-07
308000,5.7586e-07
309000,5.50351e-07
310000,6.31618e-07
311000,6.1048e-07
312000,6.3458e-07
313000,5.95789e-07
314000,5.7431e-07
315000,6.15058e-07
316000,5.8244e-07
317000,5.80091e-07
318000,5.68361e-07
319000,5.8728e-07
320000,5.9449e-07
321000,5.85868e-07
322000,6.3781e-07
323000,5.6787e-07
324000,5.3396e-07
325000,5.3668e-07
326000,5.4383e-07
327000,6.0848e-07
328000,5.71702e-07
329000,5.52258e-07
330000,5.70741e-07
331000,5.40731e-07
332000,5.3159e-07
333000,5.15919e-07
334000,5.11501e-07
335000,5.1542e-07
336000,5.17669e-07
337000,5.42769e-07
338000,5.70579e-07
339000,5.60999e-07
340000,5.35359e-07
341000,5.2635e-07
342000,5.58279e-07
343000,6.05171e-07
344000,6.0396e-07
345000,5.5831e-07
346000,5.758e-07
347000,5.51741e-07
348000,6.37081e-07
349000,6.05531e-07
350000,6.13868e-07
351000,6.4671e-07
352000,6.0343e-07
353000,5.80168e-07
354000,5.53451e-07
355000,6.02381e-07
356000,5.6437e-07
357000,5.57411e-07
358000,5.43959e-07
359000,5.5537e-07
360000,5.71039e-07
361000,5.47991e-07
362000,5.56929e-07
363000,5.58059e-07
364000,5.5223e-07
365000,5.51219e-07
366000,5.41439e-07
367000,6.68581e-07
368000,6.66411e-07
369000,5.91631e-07
370000,6.0159e-07
371000,6.0545e-07
372000,6.0041e-07
373000,5.76301e-07
374000,5.64761e-07
375000,5.45411e-07
376000,5.4364e-07
377000,5.56638e-07
378000,6.214e-07
379000,6.8187e-07
380000,6.46691e-07
381000,7.50279e-07
382000,6.49009e-07
383000,5.76129e-07
384000,5.8111e-07
385000,5.7513e-07
386000,5.8466e-07
