10000 0.000174 574 0.000175 456
20000 0.000175 1435 0.000173 1435
30000 0.000176 2124 0.000174 2243
40000 0.000177 2918 0.000173 2945
50000 0.000176 3532 0.000176 3722
60000 0.000176 4364 0.000172 4216
70000 0.000178 4918 0.000185 4750
80000 0.000177 5336 0.000172 5230
90000 0.000178 5845 0.000178 5808
100000 0.000186 6195 0.000184 6225
110000 0.000177 6587 0.000175 6502
120000 0.000175 6926 0.000176 6942
130000 0.000176 7271 0.000173 7199
140000 0.000179 7457 0.000174 7379
150000 0.000178 7678 0.000176 7759
160000 0.000180 7894 0.000174 7828
170000 0.000189 8090 0.000177 8123
180000 0.000178 8230 0.000195 8239
190000 0.000182 8555 0.000179 8462
200000 0.000175 8631 0.000177 8674
